Designator;Mid X mm (mm);Mid Y mm (mm);Layer;Rotation
J37;49.847;-7.184;Top;0.0
J38;79.351;-7.551;Top;0.0
LED1;139.382;169.386;Top;0.0
LED2;61.837;2.064;Top;180.0
LED3;129.54;136.207;Top;90.0
LED4;132.874;120.174;Top;0.0
LED5;133.191;123.19;Top;0.0
LED6;131.604;111.601;Top;180.0
LED7;17.621;98.742;Top;270.0
LED8;17.145;73.184;Top;270.0
LED11;19.367;98.742;Top;270.0
LED12;33.897;2.064;Top;180.0
LED16;6.116;2.222;Top;180.0
LED17;18.181;2.064;Top;180.0
LED18;133.033;91.916;Top;0.0
LED19;133.033;93.662;Top;0.0
LED20;132.239;2.064;Top;180.0
LED21;117.445;2.064;Top;180.0
LED22;50.8;3.81;Top;180.0
LED23;78.324;2.136;Top;180.0
OLED1;70.485;61.69;Top;0.0
PSU1;60.325;75.248;Bottom;90.0
PSU2;60.325;98.743;Bottom;90.0
Q1;136.838;153.67;Top;270.0
Q2;34.925;9.045;Top;0.0
Q3;7.62;39.053;Top;0.0
Q4;136.838;134.461;Top;270.0
Q5;27.305;92.238;Top;180.0
Q6;27.146;66.838;Top;180.0
Q7;4.088;172.074;Top;270.0
Q8;129.699;122.714;Top;180.0
Q9;126.047;122.714;Top;180.0
Q10;22.16;101.506;Top;180.0
Q11;50.482;7.937;Top;90.0
Q14;6.826;9.203;Top;360.0
Q15;19.209;9.045;Top;0.0
Q16;117.316;9.045;Top;0.0
Q17;62.865;9.045;Top;0.0
Q18;135.171;9.045;Top;0.0
Q19;79.216;9.045;Top;0.0
R1;47.942;5.154;Top;0.0
R2;7.461;46.672;Top;0.0
R3;37.073;2.064;Top;180.0
R4;1.389;172.074;Top;270.0
R5;50.8;5.313;Top;0.0
R6;14.288;47.466;Top;90.0
R7;17.939;75.565;Top;0.0
R8;129.54;133.032;Top;90.0
R9;13.653;74.136;Top;0.0
R10;13.653;70.961;Top;0.0
R11;13.811;99.536;Top;0.0
R12;132.874;121.603;Top;0.0
R13;142.399;169.386;Top;360.0
R14;13.653;67.786;Top;0.0
R15;13.653;77.311;Top;0.0
R16;131.921;153.988;Top;90.0
R17;131.921;134.62;Top;90.0
R18;7.62;36.195;Top;180.0
R19;126.683;32.226;Top;270.0
R20;19.685;45.402;Top;90.0
R21;30.004;58.261;Top;90.0
R22;33.179;58.261;Top;90.0
R23;36.354;58.261;Top;90.0
R24;26.829;58.261;Top;90.0
R25;126.683;23.177;Top;270.0
R26;132.239;178.911;Top;90.0
